Date,AAPL,ABT,AMZN,BAC,C,COP,CVX,EOG,GOOGL,GS,JNJ,JPM,META,MRK,MSFT,PFE,SLB,UNH,WFC,XOM
2019-08-19,50.55390167236328,75.78870391845703,90.80599975585938,23.124624252319336,51.073692321777344,42.65623092651367,88.02827453613281,58.0596809387207,59.52997970581055,172.35336303710938,109.52600860595703,90.50888061523438,184.72039794921875,66.6087417602539,130.67379760742188,24.476490020751953,28.578771591186523,218.3217315673828,38.214359283447266,51.59400177001953
2019-08-20,50.556304931640625,74.88519287109375,90.06900024414062,22.658231735229492,50.36686325073242,41.68352508544922,87.14279174804688,57.223976135253906,58.6914176940918,170.46104431152344,108.15950775146484,89.3597183227539,182.3787841796875,66.19141387939453,129.58807373046875,24.079917907714844,28.41115951538086,214.2623748779297,37.73298645019531,51.281978607177734
2019-08-21,51.1042594909668,75.20407104492188,91.177001953125,22.836301803588867,50.23186492919922,41.62025833129883,88.45600128173828,57.619449615478516,59.090614318847656,171.0577392578125,108.92970275878906,89.60952758789062,182.1208038330078,67.16516876220703,131.03253173828125,24.260814666748047,28.235153198242188,214.431884765625,38.00322341918945,51.79458236694336
2019-08-22,51.061004638671875,74.734619140625,90.23300170898438,23.056787490844727,50.756004333496094,41.327659606933594,88.34344482421875,56.34349822998047,59.08763885498047,172.54090881347656,108.71441650390625,90.53385925292969,180.62254333496094,67.01831817626953,130.07896423339844,24.406919479370117,28.251914978027344,207.8209228515625,38.52682876586914,51.68315505981445
2019-08-23,48.700931549072266,72.5732650756836,87.48100280761719,22.446237564086914,49.199432373046875,39.872581481933594,86.429931640625,53.53788375854492,57.20619583129883,167.239013671875,105.78264617919922,88.28549194335938,176.365966796875,65.64273071289062,125.93439483642578,23.892061233520508,26.84393310546875,205.78677368164062,37.51342010498047,50.137935638427734
2019-08-26,49.6262092590332,73.62736511230469,88.44349670410156,22.70911407470703,49.81093215942383,40.62385940551758,86.85015106201172,53.91096878051758,58.07897186279297,170.1798095703125,106.63372039794922,88.9933090209961,178.95565795898438,66.369140625,127.87923431396484,24.239938735961914,26.475175857543945,206.1614990234375,37.98634719848633,50.405372619628906
2019-08-27,49.06623458862305,74.09683990478516,88.09149932861328,22.446237564086914,48.96910095214844,40.315425872802734,86.91769409179688,53.47072982788086,58.061126708984375,168.8330078125,108.16899108886719,88.05235290527344,179.88833618164062,66.09095001220703,128.15298461914062,23.892061233520508,26.190221786499023,198.8903350830078,37.79209899902344,49.915069580078125
2019-08-28,49.39549255371094,74.60173034667969,88.2125015258789,22.768461227416992,49.52504348754883,41.082515716552734,87.66809844970703,54.11989212036133,58.20642852783203,170.83615112304688,107.36798095703125,88.93502044677734,180.34475708007812,66.8328628540039,127.98307037353516,24.406919479370117,26.500320434570312,202.83372497558594,38.40015411376953,50.27907943725586
2019-08-29,50.231842041015625,75.13323974609375,89.31999969482422,23.17550277709961,50.748069763183594,41.351383209228516,88.18586730957031,55.57493209838867,59.222530364990234,174.49867248535156,107.00086212158203,90.95022583007812,184.12509155273438,67.01831817626953,130.3999786376953,24.580860137939453,27.03668975830078,205.75108337402344,39.00819778442383,50.836246490478516
2019-08-30,50.166969299316406,75.57609558105469,88.81449890136719,23.32813835144043,51.10545349121094,41.26439666748047,88.33594512939453,55.35854721069336,59.038551330566406,174.90179443359375,107.10099029541016,91.48316192626953,184.22430419921875,66.82512664794922,130.154541015625,24.73392105102539,27.179168701171875,208.76663208007812,39.329132080078125,50.8734016418457
